lsoa_code,borough,major_category,minor_category,value,year,month
E01001295,Ealing,Drugs,Possession Of Drugs,0,2011,7
E01000560,Brent,Violence Against the Person,Wounding/GBH,0,2016,8
E01001227,Ealing,Burglary,Burglary in Other Buildings,0,2009,7
E01001468,Enfield,Burglary,Burglary in Other Buildings,2,2013,12
E01002713,Islington,Other Notifiable Offences,Other Notifiable,0,2016,10
E01003619,Newham,Theft and Handling,Theft From Motor Vehicle,2,2013,9
E01004468,Waltham Forest,Burglary,Burglary in a Dwelling,6,2009,10
E01001970,Haringey,Violence Against the Person,Wounding/GBH,0,2014,5
E01033739,Greenwich,Criminal Damage,Criminal Damage To Dwelling,1,2013,6
E01000086,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2016,7
E01002104,Haringey,Other Notifiable Offences,Other Notifiable,0,2012,9
E01000200,Barnet,Violence Against the Person,Harassment,0,2010,7
E01002691,Hounslow,Theft and Handling,Handling Stolen Goods,0,2016,7
E01004254,Tower Hamlets,Drugs,Possession Of Drugs,0,2015,3
E01003411,Merton,Violence Against the Person,Wounding/GBH,0,2011,1
E01004360,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2010,2
E01003062,Lambeth,Robbery,Personal Property,0,2013,6
E01004712,Westminster,Criminal Damage,Other Criminal Damage,0,2016,10
E01003556,Newham,Theft and Handling,Handling Stolen Goods,0,2009,9
E01032790,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2009,4
E01000569,Brent,Other Notifiable Offences,Going Equipped,0,2015,1
E01003913,Southwark,Violence Against the Person,Assault with Injury,3,2010,5
E01002874,Kensington and Chelsea,Violence Against the Person,Offensive Weapon,0,2008,7
E01003940,Southwark,Robbery,Business Property,0,2015,9
E01001074,Croydon,Sexual Offences,Other Sexual,0,2012,5
E01003995,Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,4
E01001735,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,3
E01003820,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2012,12
E01000638,Brent,Violence Against the Person,Harassment,4,2015,1
E01001735,Hackney,Burglary,Burglary in a Dwelling,1,2016,4
E01002298,Havering,Violence Against the Person,Harassment,0,2015,6
E01002769,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01004039,Southwark,Violence Against the Person,Other violence,0,2012,4
E01004538,Wandsworth,Burglary,Burglary in a Dwelling,1,2015,12
E01002655,Hounslow,Drugs,Possession Of Drugs,0,2015,4
E01004350,Waltham Forest,Robbery,Business Property,0,2013,5
E01002795,Islington,Violence Against the Person,Assault with Injury,2,2012,4
E01002061,Haringey,Drugs,Possession Of Drugs,0,2009,7
